Year,Economy Label,Mode Label,Direction Label,US dollars at current prices in millions,US dollars at current prices per capita,Percentage of total world,Percentage of Gross Domestic Product
1971,Tunisia,Flow,Inward,23.0,4.443,0.161503,1.24314
1971,Turkey,Flow,Inward,45.0,1.26,0.315985,0.1906
1971,Uganda,Flow,Inward,-1.2,-0.124,-0.008426,-0.07618
1971,Egypt,Flow,Inward,2.31,0.065,0.016221,0.02677
1971,"Tanzania, United Republic of",Flow,Inward,5.15,0.369,0.036163,0.20801
1971,United States of America,Flow,Inward,870.0,4.063,6.109045,0.07432
1971,United States of America,Flow,Outward,7618.0,35.578,52.78344,0.65079
1971,Burkina Faso,Flow,Inward,1.0,0.175,0.007022,0.19352
1971,Uruguay,Flow,Inward,-0.83,-0.295,-0.005828,-0.02723
1971,Venezuela (Bolivarian Rep. of),Flow,Inward,211.0,17.964,1.481619,1.38906
1971,Samoa,Flow,Inward,0.01,0.069,7e-05,0.02036
1971,Zambia,Flow,Inward,8.42,1.949,0.059124,0.53489
1971,United Kingdom,Flow,Inward,1771.22,31.67,12.437314,1.19591
1971,United Kingdom,Flow,Outward,1988.15,35.549,13.775452,1.34238
1971,Indonesia,Flow,Inward,299.07,2.525,2.100037,2.72835
1972,Afghanistan,Flow,Inward,0.15,0.013,0.001016,0.0091
1972,Algeria,Flow,Inward,41.49,2.714,0.281106,0.57814
1972,Algeria,Flow,Outward,2.0,0.131,0.012716,0.02787
1972,Angola,Flow,Inward,2.16,0.346,0.014635,0.05264
1972,Argentina,Flow,Inward,71.72,2.909,0.485922,0.18721
1972,Argentina,Flow,Outward,1.673,0.068,0.010637,0.00437
1972,Australia,Flow,Inward,1054.015,79.583,7.141226,1.77699
1972,Australia,Flow,Outward,128.771,9.723,0.818697,0.2171
1972,Austria,Flow,Inward,145.4,19.179,0.985123,0.65911
1972,Austria,Flow,Outward,38.37,5.061,0.243948,0.17393
1972,Bahamas,Flow,Inward,90.43,508.425,0.612687,10.63821
1972,Bangladesh,Flow,Inward,0.09,0.001,0.00061,0.00145
1972,Barbados,Flow,Inward,16.616,68.799,0.112581,5.9281
1972,Barbados,Flow,Outward,-0.07,-0.29,-0.000445,-0.02497
1972,Belgium,Flow,Inward,386.0,39.823,2.615251,1.03737
1972,Belgium,Flow,Outward,177.0,18.261,1.125326,0.47568
1972,Bolivia (Plurinational State of),Flow,Inward,16.205,3.461,0.109793,1.26733
1972,Brazil,Flow,Inward,459.9,4.605,3.115943,0.90847
1972,Brazil,Flow,Outward,19.0,0.19,0.120798,0.03753
1972,Solomon Islands,Flow,Inward,-0.01,-0.058,-6.8e-05,-0.0265
1972,Brunei Darussalam,Flow,Inward,-3.78,-26.617,-0.02561,-1.11128
1972,Myanmar,Flow,Inward,0.28,0.01,0.001897,0.01008
1972,Burundi,Flow,Inward,0.41,0.115,0.002778,0.16643
1972,Cambodia,Flow,Inward,-0.01,-0.001,-6.8e-05,-0.00132
1972,Cameroon,Flow,Inward,3.3,0.481,0.022358,0.17339
1972,Canada,Flow,Inward,2113.274,95.744,14.317988,1.84116
1972,Canada,Flow,Outward,80.814,3.661,0.513794,0.07041
1972,Central African Republic,Flow,Inward,1.5,0.803,0.010163,0.44629
1972,Sri Lanka,Flow,Inward,0.3,0.023,0.002033,0.00932
1972,Chad,Flow,Inward,-0.1,-0.026,-0.000678,-0.02481
1972,Chile,Flow,Inward,-1.1,-0.109,-0.007453,-0.00879
1972,"China, Taiwan Province of",Flow,Inward,2.7,0.173,0.018293,0.03352
1972,"China, Taiwan Province of",Flow,Outward,3.0,0.192,0.019073,0.03724
1972,Colombia,Flow,Inward,18.46,0.82,0.125071,0.15128
1972,Colombia,Flow,Outward,1.09,0.048,0.00693,0.00893
1972,Congo,Flow,Inward,66.3,47.138,0.4492,17.00879
1972,"Congo, Dem. Rep. of the",Flow,Inward,10.47,0.496,0.070937,0.17787
1972,Costa Rica,Flow,Inward,25.846,13.294,0.175113,1.64127
1972,Cyprus,Flow,Inward,36.4,57.962,0.24662,4.14843
1972,Benin,Flow,Inward,4.8,1.577,0.032521,1.14036
1972,Denmark,Flow,Inward,164.0,32.862,1.111143,0.70591
1972,Denmark,Flow,Outward,148.0,29.656,0.94095,0.63704
1972,Dominican Republic,Flow,Inward,43.5,9.147,0.294724,1.74892
1972,Ecuador,Flow,Inward,80.8,12.567,0.547441,2.53732
1972,El Salvador,Flow,Inward,6.6,1.707,0.044717,1.73445
1972,Ethiopia (...1991),Flow,Inward,9.7,0.308,0.06572,0.32791
1972,Fiji,Flow,Inward,8.5,15.658,0.05759,2.68323
1972,Finland,Flow,Inward,37.0,7.955,0.250685,0.25219
1972,Finland,Flow,Outward,61.0,13.115,0.387824,0.41577
1972,"France, metropolitan",Flow,Inward,656.667,12.733,4.449091,0.32271
1972,"France, metropolitan",Flow,Outward,555.241,10.766,3.530097,0.27287
1972,France,Flow,Inward,656.667,12.433,4.449091,0.32209
1972,France,Flow,Outward,555.241,10.513,3.530097,0.27235
1972,Gabon,Flow,Inward,17.4,28.445,0.11789,3.19303
1972,Gambia,Flow,Inward,1.7,3.452,0.011518,0.77762
1972,"Germany, Federal Republic of",Flow,Inward,1898.524,24.062,12.862999,0.63327
1972,"Germany, Federal Republic of",Flow,Outward,1806.538,22.896,11.485558,0.60259
1972,Ghana,Flow,Inward,11.5,1.246,0.077916,0.25662
1972,Greece,Flow,Inward,55.0,6.268,0.372639,0.32588
1972,Guatemala,Flow,Inward,15.9,2.676,0.107727,0.86235
1972,Guyana,Flow,Inward,2.5,3.463,0.016938,0.546
1972,Haiti,Flow,Inward,4.06,0.839,0.027508,0.82296
1972,Honduras,Flow,Inward,3.0,1.041,0.020326,0.31316
1972,"China, Hong Kong SAR",Flow,Inward,110.442,27.79,0.748274,1.93416
1972,Iceland,Flow,Inward,2.8,13.338,0.018971,0.33297
1972,India,Flow,Inward,17.79,0.031,0.120532,0.02446
1972,Iran (Islamic Republic of),Flow,Inward,91.2,3.032,0.617904,0.53167
1972,Iraq,Flow,Inward,-0.09,-0.008,-0.00061,-0.00243
1972,Ireland,Flow,Inward,31.0,10.38,0.210033,0.49057
1972,Israel,Flow,Inward,114.0,38.045,0.77238,1.36238
1972,Italy,Flow,Inward,673.87,12.42,4.565646,0.46392
1972,Italy,Flow,Outward,220.76,4.069,1.403542,0.15198
1972,C繫te d'Ivoire,Flow,Inward,18.7,3.354,0.126697,0.99884
1972,Jamaica,Flow,Inward,97.5,50.385,0.660588,4.21686
1972,Japan,Flow,Inward,169.0,1.565,1.145019,0.05314
1972,Japan,Flow,Outward,723.0,6.696,4.596669,0.22734
1972,Jordan,Flow,Inward,0.56,0.297,0.003794,0.07706
1972,Jordan,Flow,Outward,1.68,0.892,0.010681,0.23118
1972,Kenya,Flow,Inward,6.3,0.519,0.042684,0.20131
1972,"Korea, Republic of",Flow,Inward,496.0,14.803,3.36053,4.56629
1972,"Korea, Republic of",Flow,Outward,1.0,0.03,0.006358,0.00921
1972,Kuwait,Flow,Inward,0.01,0.012,6.8e-05,0.00022
1972,Lao People's Dem. Rep.,Flow,Inward,-0.13,-0.046,-0.000881,-0.09168
1972,Lebanon,Flow,Inward,0.76,0.314,0.005149,0.02725
